    CNS,NAME, obj,LHS, RA, DEC,proper mo,tion, trigonome,tric,   S,pectral,V,Mv,mass, notes,,Common Name,,
 89. GJ,581,    1+4P,394, 15 19 26.8,-07 43 20 H,1.229,265.4 H,0.1578,0.00176, YH*,    M3.0 V  *,10.57,11.56,0.3,,,   Wolf 562,,
     GJ, 581    P,-1,, 15 19 26.8,-07 43 20,1.229,265.4,0.1578,0.00176,,    planet  -,,,,"    orbit < 2""",,   Bonfils et al,0.2005,
     GJ, 581    P,-2,, 15 19 26.8,-07 43 20,1.229,265.4,0.1578,0.00176,,    planet  -,,,,"    orbit < 2""",,   Udry et al. 2,7,
     GJ, 581    P,-3,, 15 19 26.8,-07 43 20,1.229,265.4,0.1578,0.00176,,    planet  -,,,,"    orbit < 2""",,   Udry et al. 2,7,
     GJ, 581    P,-4,, 15 19 26.8,-07 43 20,1.229,265.4,0.1578,0.00176,,    planet  -,,,,"    orbit < 2""",,   Mayor et al.,2009,
  						,		,,,,,,,,,,,,,,,,,,
 90. LHS,2090,1,2090, 09 00 23.6,+21 50 05 *,0.774,221.2 *,0.15687,0.00267, *,    M6.0 V  *,16.1,17.08,0.09,,,   Henry et al.,2006,
  						,		,,,,,,,,,,,,,,,,,,
 91. LHS,337,1,337, 12 38 49.1,-38 22 54 *,1.464,206.4 *,0.15678,0.00199, *,    M4.0 V  *,12.75,13.73,0.15,,,   Henry et al.,2006,
		   			,					,,,,,,,,,,,,,,,,,,
 92. GJ, 661    A,2,433, 17 12 07.9,+45 39 57 H,1.625,168.4 H,0.15632,0.00128, YS,    M3.0 VJ *,9.93,10.9,0.39,,,,,
     GJ, 661    B,    -,434, 17 12 07.9,+45 39 57,1.625,168.4,0.15632,0.00128,,    M    V  -,10.35,11.32,0.33,"    orbit < 2""",,,,
,,,,,,,,,,,,,,,,,,,
 93. GJ,223.2,1,32, 05 55 09.7,-04 10 17 N,2.377,166.6 N,0.15605,0.00075, Y**,   DZ9      N,14.47,15.44,0.5, *,,   WD 0552-041,,
			,,,,,,,,,,,,,,,,,,,
 94. G 1,80-060,1,, 16 31 18.4,+40 51 54 N,0.358,330.0 N,0.156,0.004, Du,    M5.0 V,14.76,15.73,0.1,,,,,
,,,,,,,,,,,,,,,,,,,
 95. GJ, 644    A,5,428, 16 55 28.8,-08 20 11 H,1.208,223.3 H,0.15496,0.00052, YYH,S*  M2.5 VJ *,9.72,10.67,0.42,,,   Wolf 630 A,,
     GJ, 644    B,    -,, 16 55 28.8,-08 20 11,1.208,223.3,0.15496,0.00052,,    M    V  -,10.37,11.32,0.33,"    orbit < 2""",,   Wolf 630 B,,
     GJ, 644    D,    -,, 16 55 28.8,-08 20 11,1.208,223.3,0.15496,0.00052,,    M    V  -,10.87,11.82,0.27,"    orbit < 2""",,   Wolf 630 C,,
     GJ, 644    C,    -,429, 16 55 35.8,-08 23 40 H,1.19,222.5 N,0.15496,0.00052,,    M7.0 V  *,16.78,17.73,0.08,    separation,"221""",   van Biesbroec,k 8,
     GJ,643,    -,427, 16 55 25.2,-08 19 21 H,1.21,222.3 H,0.15496,0.00052,,    M3.0 V  *,11.8,12.75,0.18,    separation,"72""",   Wolf 629,,
,,,,,,,,,,,,,,,,,,,
 96. GJ,625,1,, 16 25 24.6,+54 18 15 H,0.465,111.5 H,0.15314,0.00092, YH,    M1.5 V  *,10.1,11.03,0.37,,,,,
  						,		,,,,,,,,,,,,,,,,,,
 97. GJ,1128,1,271, 09 42 46.4,-68 53 06,1.121,356.7 *,0.15305,0.00241, *,    M4.0 V  *,12.74,13.66,0.15,,,   Jao et al. 20,5,
			,,,,,,,,,,,,,,,,,,,
 98. GJ,1156,1,324, 12 19 00.3,+11 07 31 N,1.301,279.1 N,0.1529,0.003, Y,    M4.5 V  *,13.8,14.72,0.12,,,   GL Virginis,,
			   		,						,,,,,,,,,,,,,,,,,,
 99. GJ,892,1,71, 23 13 17.0,+57 10 06 H,2.095,081.9 H,0.15284,0.00028, YH,    K3.0 V  G,5.57,6.49,0.81,,,,,
			   		,						,,,,,,,,,,,,,,,,,,
100. LHS,3003,1,3003, 14 56 38.5,-28 09 51 N,0.965,210.1 N,0.15249,0.00202, YT*,    M7.0 V  *,17.05,17.97,0.08,,,,,
